category,description,nutrient_data_bank_number,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,carbohydrate_g,cholesterol_mg,choline_mg,fiber_g,lutein_zeaxanthin_mcg,lycopene_mcg,niacin_mg,protein_g,retinol_mcg,riboflavin_mg,selenium_mcg,sugars_g,thiamin_mg,water_g,mono_fat_g,poly_fat_g,saturated_fat_g,total_fat_g,calcium_mg,copper_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_mcg,vitamin_b12_mcg,vitamin_b6_mg,vitamin_c_mg,vitamin_e_mg,vitamin_k_mcg,desc_lower,calories_calc,protein_pct_cal,carb_pct_cal,fat_pct_cal,protein_per_100kcal,fiber_per_100kcal,calcium_per_100kcal,iron_per_100kcal,nutrient_density_score,nds_per_100kcal,cws,is_fortified,is_plant_based,is_infant,is_raw,nova_level,processing_level,sub_group,main_group,nds_rank,cws_rank,nds,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,vitamin_a_rae,vitamin_c,vitamin_k,calcium,iron,nds_score_norm,cws_score_norm,protein_pct,carb_pct,fat_pct
Cream,"Cream, whipped",12140000,0,68,0,8.59,106,15.8,0.0,0,0,0.06,2.67,381,0.178,2.9,8.55,0.019,54.3,8.561,1.477,21.666,33.94,62,0.011,0.1,7,55,89,26,0.23,387,0.15,0.033,0.6,0.86,3.0,"cream, whipped",350.5,3.0,9.8,87.1,0.76,0.0,17.69,0.029,23.4,6.68,29.6,0,0,False,False,1,Unprocessed,Other,Other,6995,6660,23.4,350.5,2.67,8.59,33.94,0.0,8.55,26,387,0.6,3.0,62,0.1,23.4,29.6,3.0,9.8,87.1
Ground hog,"Ground hog, cooked",23331100,0,0,0,0.0,83,63.1,0.0,0,0,6.341,25.96,2,0.292,41.6,0.0,0.676,59.18,5.734,1.361,4.683,13.6,20,0.07,0.93,24,221,344,217,2.55,2,0.68,0.559,0.1,0.12,0.0,"ground hog, cooked",226.24,45.9,0.0,54.1,11.47,0.0,8.84,0.411,36.2,16.0,40.2,0,0,False,False,3,Processed,Other,Other,1713,1655,36.2,226.24,25.96,0.0,13.6,0.0,0.0,217,2,0.1,0.0,20,0.93,36.2,40.2,45.9,0.0,54.1
Anchovy,"Anchovy, canned",26101180,0,0,0,0.0,85,85.0,0.0,0,0,19.903,28.89,12,0.363,68.1,0.0,0.078,50.3,3.77,2.562,2.203,9.71,232,0.339,4.63,69,252,544,3668,2.44,12,0.88,0.203,0.0,3.33,12.1,"anchovy, canned",202.95,56.9,0.0,43.1,14.24,0.0,114.31,2.281,30.7,15.13,21.8,0,0,False,False,3,Processed,Other,Other,5780,7011,30.7,202.95,28.89,0.0,9.71,0.0,0.0,3668,12,0.0,12.1,232,4.63,30.7,21.8,56.9,0.0,43.1
Porgy,"Porgy, raw",26133100,0,0,0,0.0,52,65.0,0.0,0,0,4.1,18.88,27,0.1,36.5,0.0,0.11,75.37,0.56,1.03,0.64,2.73,40,0.051,0.53,23,185,287,42,0.48,27,1.4,0.3,0.0,0.5,0.1,"porgy, raw",100.09,75.5,0.0,24.5,18.86,0.0,39.96,0.53,36.8,36.77,46.9,0,0,False,True,1,Unprocessed,Other,Other,1374,526,36.8,100.09,18.88,0.0,2.73,0.0,0.0,42,27,0.0,0.1,40,0.53,36.8,46.9,75.5,0.0,24.5
Porgy,"Porgy, baked or broiled, fat added",26133120,0,0,0,0.1,64,79.5,0.0,0,0,4.762,23.08,30,0.116,44.6,0.04,0.121,65.21,2.265,2.813,1.299,7.11,49,0.063,0.66,28,226,352,364,0.59,30,1.54,0.331,0.5,1.06,4.6,"porgy, baked or broiled, fat added",156.71,58.9,0.3,40.8,14.73,0.0,31.27,0.421,36.9,23.55,41.4,0,0,False,False,2,Minimally processed,Other,Other,1338,1306,36.9,156.71,23.08,0.1,7.11,0.0,0.04,364,30,0.5,4.6,49,0.66,36.9,41.4,58.9,0.3,40.8
Porgy,"Porgy, baked or broiled, no added fat",26133121,0,0,0,0.1,65,81.9,0.0,0,0,4.907,23.78,31,0.12,46.0,0.04,0.125,68.04,0.705,1.297,0.807,3.44,51,0.064,0.67,29,233,363,375,0.6,31,1.59,0.341,0.5,0.63,0.1,"porgy, baked or broiled, no added fat",126.48,75.2,0.3,24.5,18.8,0.0,40.32,0.53,37.2,29.41,44.2,0,0,False,False,2,Minimally processed,Other,Other,1223,779,37.2,126.48,23.78,0.1,3.44,0.0,0.04,375,31,0.5,0.1,51,0.67,37.2,44.2,75.2,0.3,24.5
Porgy,"Porgy, coated, baked or broiled, fat added",26133130,0,1,0,12.51,50,64.2,0.6,2,0,4.544,19.91,30,0.171,39.1,1.1,0.209,54.77,3.07,3.529,1.633,9.03,68,0.08,1.26,28,207,312,337,0.67,30,1.24,0.269,0.0,1.16,7.5,"porgy, coated, baked or broiled, fat added",210.95,37.8,23.7,38.5,9.44,0.28,32.24,0.597,36.8,17.44,39.3,0,1,False,False,2,Minimally processed,Other,Other,1374,1989,36.8,210.95,19.91,12.51,9.03,0.6,1.1,337,30,0.0,7.5,68,1.26,36.8,39.3,37.8,23.7,38.5
Porgy,"Porgy, coated, baked or broiled, no added fat",26133131,0,1,0,13.1,52,67.2,0.6,2,0,4.758,20.84,31,0.179,40.9,1.15,0.219,58.67,0.69,1.212,0.886,3.43,72,0.083,1.31,29,217,326,353,0.7,31,1.3,0.282,0.0,0.5,0.8,"porgy, coated, baked or broiled, no added fat",166.63,50.0,31.4,18.5,12.51,0.36,43.21,0.786,37.2,22.32,41.4,0,1,False,False,2,Minimally processed,Other,Other,1223,1306,37.2,166.63,20.84,13.1,3.43,0.6,1.15,353,31,0.0,0.8,72,1.31,37.2,41.4,50.0,31.4,18.5
Porgy,"Porgy, coated, fried",26133140,0,0,1,9.85,79,80.9,0.6,48,0,4.316,19.11,35,0.171,37.5,0.88,0.181,54.74,4.61,4.928,2.196,12.66,65,0.086,1.29,27,199,285,367,0.73,35,1.19,0.261,0.0,1.56,11.4,"porgy, coated, fried",229.78,33.3,17.1,49.6,8.32,0.26,28.29,0.561,36.2,15.75,38.0,0,1,False,False,3,Processed,Other,Other,1713,2587,36.2,229.78,19.11,9.85,12.66,0.6,0.88,367,35,0.0,11.4,65,1.29,36.2,38.0,33.3,17.1,49.6
Porgy,"Porgy, steamed or poached",26133160,0,0,0,0.0,65,81.7,0.0,0,0,4.382,23.74,27,0.113,45.9,0.0,0.111,68.2,0.704,1.295,0.805,3.43,51,0.064,0.67,26,209,307,369,0.6,27,1.5,0.302,0.0,0.63,0.1,"porgy, steamed or poached",125.83,75.5,0.0,24.5,18.87,0.0,40.53,0.532,36.7,29.17,44.1,0,0,False,False,1,Unprocessed,Other,Other,1431,798,36.7,125.83,23.74,0.0,3.43,0.0,0.0,369,27,0.0,0.1,51,0.67,36.7,44.1,75.5,0.0,24.5
Ray,"Ray, baked or broiled, fat added",26135120,0,0,0,0.1,62,79.5,0.0,0,0,3.413,25.65,77,0.072,44.6,0.04,0.047,63.02,3.79,3.015,1.647,9.29,42,0.041,1.03,60,257,197,409,0.53,77,1.64,0.441,0.5,1.67,4.6,"ray, baked or broiled, fat added",186.61,55.0,0.2,44.8,13.75,0.0,22.51,0.552,37.3,19.99,40.5,0,0,False,False,2,Minimally processed,Other,Other,1174,1553,37.3,186.61,25.65,0.1,9.29,0.0,0.04,409,77,0.5,4.6,42,1.03,37.3,40.5,55.0,0.2,44.8
Ray,"Ray, baked or broiled, no added fat",26135121,0,0,0,0.1,64,81.9,0.0,0,0,3.516,26.43,79,0.074,46.0,0.04,0.048,65.79,2.277,1.505,1.165,5.68,43,0.042,1.06,62,265,203,422,0.54,79,1.69,0.454,0.5,1.26,0.1,"ray, baked or broiled, no added fat",157.24,67.2,0.3,32.5,16.81,0.0,27.35,0.674,37.6,23.91,42.6,0,0,False,False,2,Minimally processed,Other,Other,1041,1033,37.6,157.24,26.43,0.1,5.68,0.0,0.04,422,79,0.5,0.1,43,1.06,37.6,42.6,67.2,0.3,32.5
Ray,"Ray, coated, baked or broiled, fat added",26135130,0,1,0,12.51,49,64.2,0.6,2,0,3.515,21.86,66,0.137,39.1,1.1,0.152,53.1,4.234,3.682,1.899,10.69,63,0.063,1.55,52,230,193,372,0.62,66,1.32,0.353,0.0,1.62,7.5,"ray, coated, baked or broiled, fat added",233.69,37.4,21.4,41.2,9.35,0.26,26.96,0.663,37.1,15.88,39.0,0,1,False,False,2,Minimally processed,Other,Other,1253,2122,37.1,233.69,21.86,12.51,10.69,0.6,1.1,372,66,0.0,7.5,63,1.55,37.1,39.0,37.4,21.4,41.2
Ray,"Ray, coated, baked or broiled, no added fat",26135131,0,1,0,13.1,51,67.2,0.6,2,0,3.68,22.89,69,0.144,40.9,1.15,0.159,56.92,1.909,1.373,1.164,5.17,66,0.066,1.62,55,241,202,389,0.65,69,1.38,0.37,0.0,0.99,0.8,"ray, coated, baked or broiled, no added fat",190.49,48.1,27.5,24.4,12.02,0.31,34.65,0.85,37.5,19.69,40.8,0,1,False,False,2,Minimally processed,Other,Other,1102,1470,37.5,190.49,22.89,13.1,5.17,0.6,1.15,389,69,0.0,0.8,66,1.62,37.5,40.8,48.1,27.5,24.4
Ray,"Ray, coated, fried",26135140,0,0,1,9.85,79,80.9,0.6,48,0,3.324,20.9,66,0.14,37.5,0.88,0.132,53.22,5.676,5.068,2.439,14.18,60,0.07,1.56,49,220,177,399,0.69,66,1.26,0.337,0.0,1.98,11.4,"ray, coated, fried",250.62,33.4,15.7,50.9,8.34,0.24,23.94,0.622,36.4,14.52,37.9,0,1,False,False,3,Processed,Other,Other,1618,2643,36.4,250.62,20.9,9.85,14.18,0.6,0.88,399,66,0.0,11.4,60,1.56,36.4,37.9,33.4,15.7,50.9
Ray,"Ray, steamed or poached",26135160,0,0,0,0.0,64,81.7,0.0,0,0,3.14,26.38,70,0.07,45.9,0.0,0.042,65.95,2.274,1.503,1.163,5.67,43,0.041,1.06,55,238,171,411,0.54,70,1.59,0.402,0.0,1.26,0.1,"ray, steamed or poached",156.55,67.4,0.0,32.6,16.85,0.0,27.47,0.677,37.0,23.63,42.5,0,0,False,False,1,Unprocessed,Other,Other,1295,1070,37.0,156.55,26.38,0.0,5.67,0.0,0.0,411,70,0.0,0.1,43,1.06,37.0,42.5,67.4,0.0,32.6
Sardines,"Sardines, cooked",26139110,0,0,0,0.0,142,75.0,0.0,0,0,5.245,24.62,32,0.227,52.7,0.0,0.08,59.61,3.869,5.148,1.528,11.45,382,0.186,2.92,39,490,397,307,1.31,32,8.94,0.167,0.0,2.04,2.6,"sardines, cooked",201.53,48.9,0.0,51.1,12.22,0.0,189.55,1.449,43.3,21.49,42.8,0,0,False,False,3,Processed,Other,Other,424,998,43.3,201.53,24.62,0.0,11.45,0.0,0.0,307,32,0.0,2.6,382,2.92,43.3,42.8,48.9,0.0,51.1
Sardines,"Sardines, dried",26139170,0,0,0,0.0,154,166.6,0.0,0,0,8.248,46.06,72,0.598,93.6,0.0,0.224,28.32,9.58,5.47,5.23,23.18,148,0.236,2.82,82,606,838,230,2.54,72,26.28,0.696,1.4,2.74,0.2,"sardines, dried",392.86,46.9,0.0,53.1,11.72,0.0,37.67,0.718,48.0,12.22,45.0,0,0,False,False,2,Minimally processed,Other,Other,272,680,48.0,392.86,46.06,0.0,23.18,0.0,0.0,230,72,1.4,0.2,148,2.82,48.0,45.0,46.9,0.0,53.1
Shark,"Shark, baked or broiled, fat added",26143120,0,0,0,0.1,62,79.5,0.0,0,0,3.413,25.65,77,0.072,44.6,0.04,0.047,63.02,3.79,3.015,1.647,9.29,42,0.041,1.03,60,257,197,409,0.53,77,1.64,0.441,0.5,1.67,4.6,"shark, baked or broiled, fat added",186.61,55.0,0.2,44.8,13.75,0.0,22.51,0.552,37.3,19.99,40.5,0,0,False,False,2,Minimally processed,Other,Other,1174,1553,37.3,186.61,25.65,0.1,9.29,0.0,0.04,409,77,0.5,4.6,42,1.03,37.3,40.5,55.0,0.2,44.8
Shark,"Shark, baked or broiled, no added fat",26143121,0,0,0,0.1,64,81.9,0.0,0,0,3.516,26.43,79,0.074,46.0,0.04,0.048,65.79,2.277,1.505,1.165,5.68,43,0.042,1.06,62,265,203,422,0.54,79,1.69,0.454,0.5,1.26,0.1,"shark, baked or broiled, no added fat",157.24,67.2,0.3,32.5,16.81,0.0,27.35,0.674,37.6,23.91,42.6,0,0,False,False,2,Minimally processed,Other,Other,1041,1033,37.6,157.24,26.43,0.1,5.68,0.0,0.04,422,79,0.5,0.1,43,1.06,37.6,42.6,67.2,0.3,32.5
Shark,"Shark, coated, baked or broiled, fat added",26143130,0,1,0,12.51,49,64.2,0.6,2,0,3.515,21.86,66,0.137,39.1,1.1,0.152,53.1,4.234,3.682,1.899,10.69,63,0.063,1.55,52,230,193,372,0.62,66,1.32,0.353,0.0,1.62,7.5,"shark, coated, baked or broiled, fat added",233.69,37.4,21.4,41.2,9.35,0.26,26.96,0.663,37.1,15.88,39.0,0,1,False,False,2,Minimally processed,Other,Other,1253,2122,37.1,233.69,21.86,12.51,10.69,0.6,1.1,372,66,0.0,7.5,63,1.55,37.1,39.0,37.4,21.4,41.2
Shark,"Shark, coated, baked or broiled, no added fat",26143131,0,1,0,13.1,51,67.2,0.6,2,0,3.68,22.89,69,0.144,40.9,1.15,0.159,56.92,1.909,1.373,1.164,5.17,66,0.066,1.62,55,241,202,389,0.65,69,1.38,0.37,0.0,0.99,0.8,"shark, coated, baked or broiled, no added fat",190.49,48.1,27.5,24.4,12.02,0.31,34.65,0.85,37.5,19.69,40.8,0,1,False,False,2,Minimally processed,Other,Other,1102,1470,37.5,190.49,22.89,13.1,5.17,0.6,1.15,389,69,0.0,0.8,66,1.62,37.5,40.8,48.1,27.5,24.4
Shark,"Shark, coated, fried",26143140,0,0,1,9.85,79,80.9,0.6,48,0,3.324,20.9,66,0.14,37.5,0.88,0.132,53.22,5.676,5.068,2.439,14.18,60,0.07,1.56,49,220,177,399,0.69,66,1.26,0.337,0.0,1.98,11.4,"shark, coated, fried",250.62,33.4,15.7,50.9,8.34,0.24,23.94,0.622,36.4,14.52,37.9,0,1,False,False,3,Processed,Other,Other,1618,2643,36.4,250.62,20.9,9.85,14.18,0.6,0.88,399,66,0.0,11.4,60,1.56,36.4,37.9,33.4,15.7,50.9
Shark,"Shark, steamed or poached",26143160,0,0,0,0.0,64,81.7,0.0,0,0,3.14,26.38,70,0.07,45.9,0.0,0.042,65.95,2.274,1.503,1.163,5.67,43,0.041,1.06,55,238,171,411,0.54,70,1.59,0.402,0.0,1.26,0.1,"shark, steamed or poached",156.55,67.4,0.0,32.6,16.85,0.0,27.47,0.677,37.0,23.63,42.5,0,0,False,False,1,Unprocessed,Other,Other,1295,1070,37.0,156.55,26.38,0.0,5.67,0.0,0.0,411,70,0.0,0.1,43,1.06,37.0,42.5,67.4,0.0,32.6
Sturgeon,"Sturgeon, baked or broiled, fat added",26147120,0,0,0,0.1,73,68.5,0.0,0,0,9.639,19.73,231,0.081,15.4,0.04,0.077,66.65,3.95,2.398,1.635,8.71,16,0.05,0.86,43,258,349,379,0.51,231,2.42,0.221,0.5,1.06,4.6,"sturgeon, baked or broiled, fat added",157.71,50.0,0.3,49.7,12.51,0.0,10.15,0.545,36.4,23.08,39.6,0,0,False,False,2,Minimally processed,Other,Other,1618,1874,36.4,157.71,19.73,0.1,8.71,0.0,0.04,379,231,0.5,4.6,16,0.86,36.4,39.6,50.0,0.3,49.7
Sturgeon,"Sturgeon, steamed",26147130,0,0,0,0.0,75,70.4,0.0,0,0,8.872,20.3,211,0.079,15.8,0.0,0.07,69.68,2.438,0.868,1.151,5.08,17,0.052,0.88,40,239,304,383,0.53,211,2.35,0.201,0.0,0.63,0.1,"sturgeon, steamed",126.92,64.0,0.0,36.0,15.99,0.0,13.39,0.693,36.0,28.36,41.7,0,0,False,False,1,Unprocessed,Other,Other,1827,1243,36.0,126.92,20.3,0.0,5.08,0.0,0.0,383,211,0.0,0.1,17,0.88,36.0,41.7,64.0,0.0,36.0
Sturgeon,"Sturgeon, coated, fried",26147140,0,0,1,9.85,86,73.2,0.6,48,0,7.901,16.77,167,0.147,17.1,0.88,0.152,55.75,5.787,4.637,2.431,13.78,42,0.077,1.44,37,221,283,377,0.68,167,1.81,0.184,0.0,1.56,11.4,"sturgeon, coated, fried",230.5,29.1,17.1,53.8,7.28,0.26,18.22,0.625,35.8,15.53,37.1,0,1,False,False,3,Processed,Other,Other,1905,3090,35.8,230.5,16.77,9.85,13.78,0.6,0.88,377,167,0.0,11.4,42,1.44,35.8,37.1,29.1,17.1,53.8
Sturgeon,"Sturgeon, smoked",26147190,0,0,0,0.0,80,87.3,0.0,0,0,11.1,31.2,280,0.09,20.1,0.0,0.09,62.5,2.356,0.436,1.037,4.4,17,0.05,0.93,47,281,379,739,0.56,280,2.9,0.27,0.0,0.5,0.1,"sturgeon, smoked",164.4,75.9,0.0,24.1,18.98,0.0,10.34,0.566,37.4,22.75,41.2,0,0,False,False,1,Unprocessed,Other,Other,1145,1367,37.4,164.4,31.2,0.0,4.4,0.0,0.0,739,280,0.0,0.1,17,0.93,37.4,41.2,75.9,0.0,24.1
Whiting,"Whiting, baked or broiled, no added fat",26157123,0,0,0,0.1,84,81.9,0.0,0,0,1.557,23.06,34,0.055,40.4,0.04,0.064,74.21,0.351,0.532,0.312,1.65,61,0.039,0.43,27,280,315,413,1.11,34,2.61,0.177,0.5,0.38,0.1,"whiting, baked or broiled, no added fat",107.49,85.8,0.4,13.8,21.45,0.0,56.75,0.4,36.7,34.14,45.4,0,0,False,False,2,Minimally processed,Other,Other,1431,634,36.7,107.49,23.06,0.1,1.65,0.0,0.04,413,34,0.5,0.1,61,0.43,36.7,45.4,85.8,0.4,13.8
Whiting,"Whiting, baked or broiled, made with cooking spray",26157124,0,0,0,0.2,84,81.6,0.0,0,0,1.551,22.98,34,0.055,40.3,0.04,0.064,73.82,0.598,0.64,0.335,2.04,61,0.039,0.43,26,279,314,412,1.1,34,2.6,0.177,0.5,0.38,0.1,"whiting, baked or broiled, made with cooking spray",111.08,82.8,0.7,16.5,20.69,0.0,54.92,0.387,36.7,33.04,44.9,0,0,False,False,2,Minimally processed,Other,Other,1431,687,36.7,111.08,22.98,0.2,2.04,0.0,0.04,412,34,0.5,0.1,61,0.43,36.7,44.9,82.8,0.7,16.5
Whiting,"Whiting, coated, baked or broiled, no added fat",26157133,0,1,0,13.1,67,67.2,0.6,2,0,2.16,20.28,34,0.129,36.6,1.15,0.171,63.46,0.416,0.618,0.502,2.04,79,0.064,1.13,27,253,289,382,1.09,34,2.09,0.155,0.0,0.31,0.8,"whiting, coated, baked or broiled, no added fat",151.88,53.4,34.5,12.1,13.35,0.4,52.01,0.744,36.8,24.23,41.5,0,1,False,False,2,Minimally processed,Other,Other,1374,1286,36.8,151.88,20.28,13.1,2.04,0.6,1.15,382,34,0.0,0.8,79,1.13,36.8,41.5,53.4,34.5,12.1
Whiting,"Whiting, coated, baked or broiled, made with cooking spray",26157134,0,1,0,13.14,66,67.0,0.6,2,0,2.154,20.23,34,0.128,36.5,1.14,0.171,63.18,0.607,0.702,0.52,2.34,79,0.064,1.12,27,252,288,381,1.09,34,2.08,0.155,0.0,0.31,0.8,"whiting, coated, baked or broiled, made with cooking spray",154.54,52.4,34.0,13.6,13.09,0.39,51.12,0.725,36.8,23.81,41.3,0,1,False,False,2,Minimally processed,Other,Other,1374,1337,36.8,154.54,20.23,13.14,2.34,0.6,1.14,381,34,0.0,0.8,79,1.12,36.8,41.3,52.4,34.0,13.6
Whiting,"Whiting, coated, fried, no added fat",26157143,0,0,1,11.6,109,95.2,0.7,56,0,2.267,21.92,43,0.15,39.7,1.03,0.167,61.92,0.849,0.965,0.787,3.22,84,0.081,1.31,29,271,297,462,1.26,43,2.22,0.176,0.0,0.43,1.3,"whiting, coated, fried, no added fat",163.06,53.8,28.5,17.8,13.44,0.43,51.51,0.803,37.0,22.69,41.1,0,1,False,False,3,Processed,Other,Other,1295,1389,37.0,163.06,21.92,11.6,3.22,0.7,1.03,462,43,0.0,1.3,84,1.31,37.0,41.1,53.8,28.5,17.8
Whiting,"Whiting, coated, fried, made with cooking spray",26157144,0,0,1,11.64,108,94.9,0.7,56,0,2.26,21.85,43,0.149,39.5,1.03,0.167,61.64,1.044,1.05,0.805,3.52,84,0.08,1.31,29,271,297,461,1.25,43,2.21,0.176,0.0,0.43,1.3,"whiting, coated, fried, made with cooking spray",165.64,52.8,28.1,19.1,13.19,0.42,50.71,0.791,37.0,22.34,41.0,0,1,False,False,3,Processed,Other,Other,1295,1417,37.0,165.64,21.85,11.64,3.52,0.7,1.03,461,43,0.0,1.3,84,1.31,37.0,41.0,52.8,28.1,19.1
Whiting,"Whiting, steamed or poached",26157160,0,0,0,0.0,84,81.7,0.0,0,0,1.39,23.02,30,0.052,40.4,0.0,0.056,74.36,0.351,0.531,0.311,1.65,61,0.039,0.43,24,251,266,403,1.11,30,2.46,0.157,0.0,0.38,0.1,"whiting, steamed or poached",106.93,86.1,0.0,13.9,21.53,0.0,57.05,0.402,36.2,33.85,45.3,0,0,False,False,1,Unprocessed,Other,Other,1713,645,36.2,106.93,23.02,0.0,1.65,0.0,0.0,403,30,0.0,0.1,61,0.43,36.2,45.3,86.1,0.0,13.9
Frog legs,"Frog legs, steamed",26203160,0,0,0,0.0,63,81.7,0.0,0,0,1.207,20.62,17,0.267,17.7,0.0,0.15,76.41,0.067,0.128,0.096,0.38,23,0.299,1.79,23,148,287,388,1.26,17,0.4,0.121,0.0,1.26,0.1,"frog legs, steamed",85.9,96.0,0.0,4.0,24.0,0.0,26.78,2.084,36.1,42.03,47.1,0,0,False,False,1,Unprocessed,Other,Other,1765,508,36.1,85.9,20.62,0.0,0.38,0.0,0.0,388,17,0.0,0.1,23,1.79,36.1,47.1,96.0,0.0,4.0
Abalone,"Abalone, floured or breaded, fried",26301140,0,0,1,15.53,111,83.8,0.6,49,0,2.173,18.24,17,0.177,46.2,0.91,0.255,52.37,4.378,4.288,1.842,11.38,59,0.217,3.69,50,211,263,610,1.06,17,0.7,0.151,1.4,4.71,32.0,"abalone, floured or breaded, fried",237.5,30.7,26.2,43.1,7.68,0.25,24.84,1.554,37.5,15.79,36.0,0,0,False,False,2,Minimally processed,Other,Other,1102,3820,37.5,237.5,18.24,15.53,11.38,0.6,0.91,610,17,1.4,32.0,59,3.69,37.5,36.0,30.7,26.2,43.1
Abalone,"Abalone, steamed or poached",26301160,0,0,0,11.97,169,129.4,0.0,0,0,2.688,34.05,4,0.189,89.2,0.0,0.359,48.47,0.213,0.207,0.297,1.51,62,0.332,5.72,96,284,448,939,1.63,4,1.31,0.269,3.2,7.96,45.8,"abalone, steamed or poached",197.67,68.9,24.2,6.9,17.23,0.0,31.37,2.894,43.8,22.16,40.8,0,0,False,False,1,Unprocessed,Other,Other,400,1470,43.8,197.67,34.05,11.97,1.51,0.0,0.0,939,4,3.2,45.8,62,5.72,43.8,40.8,68.9,24.2,6.9
Clams,"Clams, raw",26303100,0,0,0,3.57,30,65.0,0.0,0,0,0.35,14.67,90,0.04,30.6,0.0,0.015,78.98,0.12,0.192,0.187,0.96,39,0.053,1.62,19,198,46,56,0.51,90,11.28,0.01,0.0,0.68,0.2,"clams, raw",81.6,71.9,17.5,10.6,17.98,0.0,47.79,1.985,34.7,42.52,45.4,0,0,False,True,1,Unprocessed,Other,Other,2724,634,34.7,81.6,14.67,3.57,0.96,0.0,0.0,56,90,0.0,0.2,39,1.62,34.7,45.4,71.9,17.5,10.6
Clams,"Clams, baked or broiled, fat added",26303120,0,0,0,4.35,36,77.5,0.0,0,0,0.397,17.49,91,0.038,36.5,0.03,0.016,70.38,1.684,1.744,0.726,4.83,47,0.063,1.94,23,236,56,372,0.61,91,12.77,0.012,0.5,1.24,4.6,"clams, baked or broiled, fat added",130.83,53.5,13.3,33.2,13.37,0.0,35.92,1.483,34.3,26.22,39.4,0,0,False,False,2,Minimally processed,Other,Other,3064,1949,34.3,130.83,17.49,4.35,4.83,0.0,0.03,372,91,0.5,4.6,47,1.94,34.3,39.4,53.5,13.3,33.2
Clams,"Clams, baked or broiled, no added fat",26303121,0,0,0,4.48,37,79.9,0.0,0,0,0.409,18.02,94,0.039,37.6,0.04,0.017,73.27,0.147,0.236,0.23,1.18,48,0.065,1.99,23,243,58,383,0.63,94,13.16,0.012,0.5,0.84,0.2,"clams, baked or broiled, no added fat",100.62,71.6,17.8,10.6,17.91,0.0,47.7,1.978,34.4,34.19,42.4,0,0,False,False,2,Minimally processed,Other,Other,2974,1089,34.4,100.62,18.02,4.48,1.18,0.0,0.04,383,94,0.5,0.2,48,1.99,34.4,42.4,71.6,17.8,10.6
Clams,"Clams, coated, baked or broiled, fat added",26303130,0,1,0,15.44,28,62.6,0.6,2,0,1.191,15.58,77,0.109,32.7,1.07,0.126,59.18,2.594,2.678,1.181,7.2,66,0.079,2.22,24,214,85,341,0.68,77,9.81,0.025,0.0,1.29,7.4,"clams, coated, baked or broiled, fat added",188.88,33.0,32.7,34.3,8.25,0.32,34.94,1.175,34.7,18.37,37.6,0,1,False,False,2,Minimally processed,Other,Other,2724,2805,34.7,188.88,15.58,15.44,7.2,0.6,1.07,341,77,0.0,7.4,66,2.22,34.7,37.6,33.0,32.7,34.3
Clams,"Clams, coated, baked or broiled, no added fat",26303131,0,1,0,16.17,30,65.5,0.6,2,0,1.247,16.31,80,0.114,34.2,1.12,0.132,63.14,0.254,0.383,0.432,1.66,69,0.083,2.32,25,224,89,357,0.71,80,10.27,0.027,0.0,0.66,0.8,"clams, coated, baked or broiled, no added fat",144.86,45.0,44.7,10.3,11.26,0.41,47.63,1.602,35.0,24.16,39.6,0,1,False,False,2,Minimally processed,Other,Other,2441,1874,35.0,144.86,16.31,16.17,1.66,0.6,1.12,357,80,0.0,0.8,69,2.32,35.0,39.6,45.0,44.7,10.3
Clams,"Clams, coated, fried",26303140,0,0,1,13.37,63,83.8,0.6,49,0,1.14,16.09,91,0.127,33.6,0.91,0.117,56.28,4.39,4.366,1.875,11.56,66,0.09,2.3,24,218,82,393,0.78,91,8.61,0.039,0.0,1.78,11.9,"clams, coated, fried",221.88,29.0,24.1,46.9,7.25,0.27,29.75,1.037,34.5,15.55,36.4,0,1,False,False,3,Processed,Other,Other,2885,3552,34.5,221.88,16.09,13.37,11.56,0.6,0.91,393,91,0.0,11.9,66,2.3,34.5,36.4,29.0,24.1,46.9
Clams,"Clams, steamed or boiled",26303160,0,0,0,7.11,60,129.4,0.0,0,0,0.627,29.21,161,0.076,60.9,0.0,0.028,57.27,0.239,0.382,0.372,1.91,78,0.09,2.9,38,296,82,451,1.02,161,20.22,0.018,0.0,1.35,0.4,"clams, steamed or boiled",162.47,71.9,17.5,10.6,17.98,0.0,48.01,1.785,37.6,23.14,43.1,0,0,False,False,2,Minimally processed,Other,Other,1041,948,37.6,162.47,29.21,7.11,1.91,0.0,0.0,451,161,0.0,0.4,78,2.9,37.6,43.1,71.9,17.5,10.6
Clams,"Clams, canned",26303180,0,0,0,4.46,38,81.2,0.0,0,0,0.394,18.34,101,0.048,38.2,0.0,0.018,73.72,0.15,0.24,0.234,1.2,49,0.056,1.82,24,186,52,70,0.64,101,12.69,0.011,0.0,0.85,0.2,"clams, canned",102.0,71.9,17.5,10.6,17.98,0.0,48.04,1.784,35.7,35.0,45.7,0,0,False,False,3,Processed,Other,Other,1971,605,35.7,102.0,18.34,4.46,1.2,0.0,0.0,70,101,0.0,0.2,49,1.82,35.7,45.7,71.9,17.5,10.6
