is_plant_based,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,nds,cws
Animal-Based & Other,196.19,9.58,17.71,9.67,1.29,6.73,360.59,33.9,36.77
Plant-Based (Thực vật),202.7,6.6,27.2,7.5,2.54,8.57,299.48,35.92,39.06
