is_fortified,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,nds,cws
Non-Fortified (Tự nhiên),198.4,8.62,20.82,8.96,1.7,7.32,341.2,34.56,37.53
Fortified (Có bổ sung),179.67,3.19,23.61,8.05,1.9,12.56,134.83,36.74,38.45
