description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
"Sugar substitute, sucralose, powder",Other,Extreme Macro Imbalance,-0.013224208161099038,364.68,0.0,91.17,0.0,0.0,80.33,0,0,0.0
"Sugar substitute, powder, NFS",Fast Food & Prepared,Extreme Macro Imbalance,-0.0006861964297922851,363.2,0.66,90.14,0.0,0.0,82.09,150,0,0.0
"Sugar substitute, aspartame, powder",Other,Extreme Macro Imbalance,-0.0021195100491994134,365.0,2.17,89.08,0.0,0.0,80.7,0,0,0.0
Honey,Condiments & Sauces,Extreme Macro Imbalance,-8.7836679429798e-05,330.8,0.3,82.4,0.0,0.2,82.12,4,6,0.5
Guava paste,Fruits,Extreme Macro Imbalance,-0.007991118678468467,293.07,0.1,72.56,0.27,1.1,71.62,2,3,43.9
"Almonds, chocolate covered",Sweets & Desserts,Extreme Macro Imbalance,-0.035562573807637055,594.65,17.1,32.9,43.85,9.8,18.5,24,245,0.0
"Almonds, yogurt-covered",Dairy & Eggs,High Calorie Trap,-0.01281484716760406,566.32,12.75,44.86,37.32,5.6,36.26,49,234,0.3
Butterscotch morsels,Other,High Calorie Trap,-0.004729623061982879,538.65,2.2,67.1,29.05,0.0,67.1,89,34,0.1
"Nuts, carob-coated",Other,Extreme Macro Imbalance,-0.0047485144422335646,577.71,15.81,37.56,40.47,7.2,19.32,58,242,0.2
Fondant,Other,Extreme Macro Imbalance,-0.013627807526601754,372.9,0.0,93.18,0.02,0.0,88.9,11,3,0.0
Fruit leather and fruit snacks candy,Fruits,Extreme Macro Imbalance,-0.030285558478069463,365.0,0.55,84.31,2.84,0.0,53.37,258,25,88.0
Fun Fruits Creme Supremes,Other,Extreme Macro Imbalance,-0.013171183036505107,481.4,3.68,69.33,21.04,0.1,55.26,176,136,45.9
Tamarind candy,Fruits,Extreme Macro Imbalance,-0.0614692759658525,367.84,0.0,91.96,0.0,2.5,78.57,1643,0,0.0
"Fruit snacks candy, with high vitamin C",Fruits,Extreme Macro Imbalance,-0.07574352710547738,352.2,0.08,87.97,0.0,0.0,68.18,23,0,136.4
"Yogurt covered fruit snacks candy, with added vitamin C",Dairy & Eggs,Extreme Macro Imbalance,-0.11316511565500176,415.1,0.0,86.9,7.5,0.2,65.0,75,500,180.0
"Yogurt covered fruit snacks candy rolls, with high vitamin C",Dairy & Eggs,Extreme Macro Imbalance,-0.07696943960353442,359.17,0.46,74.64,6.53,3.3,39.15,8,430,260.8
"Sesame Crunch, Sahadi","Legumes, Nuts & Seeds",High Calorie Trap,-0.03848778843125211,547.3,11.6,50.3,33.3,7.7,31.17,167,639,0.0
Butterscotch hard candy,Sweets & Desserts,Extreme Macro Imbalance,-0.0043712330288082635,391.42,0.03,90.4,3.3,0.0,80.46,391,4,0.0
Skittles,Other,Extreme Macro Imbalance,-0.05093371910421973,403.21,0.19,90.78,4.37,0.0,75.84,15,0,66.8
"Tea, iced, instant, black, pre-sweetened, dry",Beverages,Extreme Macro Imbalance,-0.011835216459437303,401.25,0.12,98.55,0.73,0.7,95.29,5,2,0.0
"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",Beverages,Extreme Macro Imbalance,-0.11047705890810422,395.76,0.0,98.94,0.0,0.4,92.31,17,385,230.8
"Fruit flavored drink, powdered, not reconstituted",Beverages,Extreme Macro Imbalance,-0.03447911156328909,400.69,0.0,97.9,1.01,0.0,97.15,130,11,40.6
"Fruit flavored drink, powdered, not reconstituted, diet",Other,Extreme Macro Imbalance,-0.11174853555927533,351.68,0.45,87.38,0.04,0.1,0.0,404,1047,560.0
"Sports drink, dry concentrate, not reconstituted",Supplements & Sports,Extreme Macro Imbalance,-0.03447911156328909,400.69,0.0,97.9,1.01,0.0,97.15,130,11,40.6
Nutritional powder mix (Carnation Instant Breakfast),Supplements & Sports,Extreme Macro Imbalance,-0.06274273327493096,357.0,19.9,66.2,1.4,0.4,65.8,385,285,76.9
"Nutritional powder mix, sugar free (Carnation Instant Breakfast)",Supplements & Sports,Extreme Macro Imbalance,-0.1095424904372071,353.1,35.8,41.0,5.1,2.0,39.0,717,500,138.0
"Nutritional powder mix, high protein (Herbalife)",Supplements & Sports,Extreme Protein Source,-0.10236686607735779,392.19,53.57,20.38,10.71,0.0,3.57,1214,714,75.0
Nutritional powder mix (Isopure),Supplements & Sports,Extreme Protein Source,-0.06149049861996547,359.28,58.14,29.07,1.16,0.0,1.16,372,698,34.9
Nutritional powder mix (Kellogg's Special K20 Protein Water),Supplements & Sports,Extreme Macro Imbalance,-0.013846343133266492,379.8,35.2,58.4,0.6,37.5,2.0,280,115,0.0
Nutritional powder mix (Muscle Milk),Supplements & Sports,Extreme Macro Imbalance,-0.02989377534851978,411.1,45.71,18.5,17.14,7.1,5.71,329,500,30.0
"Nutritional powder mix, light (Muscle Milk)",Supplements & Sports,Extreme Macro Imbalance,-0.05628341512537338,396.0,50.0,22.0,12.0,2.0,4.0,250,1200,42.0
Nutritional powder mix (Slim Fast),Supplements & Sports,Extreme Macro Imbalance,-0.0315567156914035,448.26,8.13,73.92,13.34,18.1,38.02,472,364,1.3
"Nutritional powder mix, sugar free (Slim Fast)",Supplements & Sports,Extreme Macro Imbalance,-0.0315567156914035,448.26,8.13,73.92,13.34,18.1,38.02,472,364,1.3
"Nutritional powder mix, high protein (Slim Fast)",Supplements & Sports,Extreme Macro Imbalance,-0.1336640764823276,432.62,27.87,50.0,13.46,18.2,20.59,495,1039,103.8
"Nutritional powder mix, NFS",Supplements & Sports,Extreme Macro Imbalance,-0.06274273327493096,357.0,19.9,66.2,1.4,0.4,65.8,385,285,76.9
"Nutritional powder mix, high protein, NFS",Supplements & Sports,Extreme Protein Source,-0.10236686607735779,392.19,53.57,20.38,10.71,0.0,3.57,1214,714,75.0
"Nutritional powder mix, whey based, NFS",Supplements & Sports,Extreme Protein Source,-0.005395580508897213,351.56,78.13,6.25,1.56,3.1,0.0,156,469,0.0
"Nutritional powder mix, protein, light, NFS",Supplements & Sports,Extreme Macro Imbalance,-0.05628341512537338,396.0,50.0,22.0,12.0,2.0,4.0,250,1200,42.0
"Nutritional powder mix, protein, NFS",Supplements & Sports,Extreme Protein Source,-0.005395580508897213,351.56,78.13,6.25,1.56,3.1,0.0,156,469,0.0
Industrial oil as ingredient in food,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
