description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Yogurt, Greek, nonfat milk, flavors other than fruit",0,77.7,8.64,10.37,0.18,0.5,9.54,34
"Yogurt, Greek, with oats",0,163.7,8.9,22.38,4.29,1.9,12.07,53
"Yogurt, liquid",0,71.9,3.71,11.81,1.09,0.1,9.78,53
"Chipotle dip, yogurt based",2,189.0,7.93,3.33,15.99,0.0,2.97,636
"Dill dip, yogurt based",2,192.0,8.16,3.76,16.03,0.3,2.99,641
"Onion dip, yogurt based",0,159.5,6.82,4.07,12.88,0.2,3.38,507
"Ranch dip, yogurt based",2,195.2,8.48,4.13,16.09,0.3,3.41,646
"Spinach dip, yogurt based",0,158.9,7.02,3.6,12.94,0.3,3.04,514
Tzatziki dip,0,94.0,5.35,3.95,6.31,0.2,2.92,307
"Vegetable dip, yogurt based",2,192.0,8.16,3.76,16.03,0.3,2.99,641
"Yogurt parfait, low fat, with fruit",0,86.0,3.36,15.86,1.01,1.1,11.68,49
"Frozen yogurt, NFS",0,130.8,3.0,21.6,3.6,0.0,19.92,63
"Frozen yogurt, vanilla",0,130.8,3.0,21.6,3.6,0.0,19.92,63
"Frozen yogurt, chocolate",0,130.8,3.0,21.6,3.6,2.3,19.24,63
"Frozen yogurt, soft serve, vanilla",0,163.2,4.0,24.2,5.6,0.0,24.0,87
"Frozen yogurt, soft serve, chocolate",0,168.6,4.31,24.87,5.76,0.7,23.56,86
Frozen yogurt sandwich,5,209.4,3.9,34.38,6.25,0.8,24.3,192
"Frozen yogurt bar, vanilla",0,130.8,3.0,21.6,3.6,0.0,19.92,63
"Frozen yogurt bar, chocolate",0,130.8,3.0,21.6,3.6,2.3,19.24,63
"Frozen yogurt cone, chocolate",0,142.0,3.2,23.9,3.73,2.3,18.71,71
"Frozen yogurt cone, vanilla",0,142.0,3.2,23.9,3.73,0.1,19.36,71
"Frozen yogurt cone, vanilla, waffle cone",0,146.8,3.29,25.28,3.61,0.1,20.26,77
"Frozen yogurt cone, chocolate, waffle cone",0,146.8,3.29,25.28,3.61,2.3,19.62,77
"Yogurt, whole milk, baby food",0,61.8,3.47,4.66,3.25,0.0,4.66,46
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",0,98.2,3.4,13.22,3.53,0.3,11.46,41
