description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0,147.3,7.95,16.59,5.46,1.5,0.9,351
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0,153.1,8.0,18.11,5.41,1.4,0.83,352
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",0,129.7,6.08,13.69,5.62,1.1,0.75,335
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",0,130.8,6.13,14.86,5.2,1.0,0.7,344
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",0,128.7,6.06,13.46,5.62,1.2,1.12,338
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",0,133.0,6.09,14.5,5.63,1.1,1.07,345
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",0,131.5,6.16,13.58,5.84,1.5,1.6,348
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",0,136.1,6.19,14.69,5.84,1.4,1.55,342
Chicken or turkey chow mein or chop suey with noodles,0,133.1,9.91,11.15,5.43,1.5,1.54,408
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",0,146.0,8.9,14.16,5.97,1.1,0.74,346
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",0,150.7,8.93,15.32,5.97,1.1,0.69,340
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0,149.2,6.78,18.2,5.47,1.0,0.69,345
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",0,151.2,6.85,19.78,4.96,0.9,0.62,356
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",0,131.3,5.21,14.89,5.66,0.8,0.59,344
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",0,134.3,5.25,16.03,5.46,0.7,0.54,339
"Chicken or turkey, rice, corn, and cheese, with gravy",0,151.8,5.66,14.37,7.96,0.7,0.96,431
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",0,132.2,9.4,8.07,6.93,1.1,1.4,306
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",0,134.0,9.56,7.84,7.15,0.8,1.47,305
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",0,130.3,5.26,14.58,5.66,0.8,0.97,346
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",0,131.4,5.31,15.67,5.28,0.8,0.92,342
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",0,140.7,8.05,15.54,5.15,0.8,0.58,344
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",0,145.6,8.09,16.69,5.16,0.7,0.53,338
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",0,129.9,5.32,14.84,5.47,1.1,1.44,345
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",0,134.5,5.35,15.94,5.48,1.0,1.39,339
Chicken or turkey pot pie,5,203.9,5.11,19.21,11.85,1.1,2.26,393
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",0,160.3,7.12,13.28,8.74,1.3,1.95,369
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",0,166.8,7.17,14.85,8.75,1.2,1.88,361
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",0,131.5,5.46,11.27,7.18,1.0,1.52,380
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",0,129.5,5.22,11.81,6.82,0.8,1.4,355
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",0,127.3,5.53,11.52,6.57,0.9,1.12,344
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",0,128.6,5.59,12.69,6.16,0.8,1.07,340
"Chicken fricassee, Puerto Rican style",2,173.1,12.14,7.13,10.67,1.2,1.26,754
Paella with seafood,0,140.7,8.03,16.42,4.77,0.8,0.92,609
"Seafood stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",0,72.4,8.68,5.72,1.65,0.8,1.57,366
Shrimp chow mein or chop suey with noodles,0,118.0,9.05,11.37,4.03,1.5,1.51,335
"Shrimp creole, with rice",0,120.8,10.12,11.9,3.63,0.8,0.96,436
Tuna pot pie,5,220.3,8.96,16.5,13.16,1.3,1.64,270
"Tuna noodle casserole with vegetables, cream or white sauce",0,147.3,9.01,14.04,6.12,0.8,2.35,216
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",0,137.0,8.35,14.16,5.22,1.1,0.74,309
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",0,141.8,8.39,15.32,5.22,1.1,0.69,303
Bouillabaisse,0,96.0,13.42,2.15,3.75,0.3,0.61,223
Oyster pie,5,245.1,5.38,19.95,15.98,0.8,2.26,292
"Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",0,71.3,8.82,5.98,1.34,0.9,1.67,373
Tuna noodle casserole with vegetables and mushroom sauce,0,123.6,7.97,12.97,4.43,1.0,1.47,282
"Codfish with starchy vegetables, Puerto Rican style",0,136.8,3.53,18.45,5.43,2.7,2.94,51
"Stewed codfish, Puerto Rican style",0,113.6,10.87,8.48,4.02,1.3,1.69,82
"Biscayne codfish, Puerto Rican style",0,191.3,9.2,11.08,12.24,1.9,1.85,300
"Stew, NFS",0,89.7,5.23,8.24,3.98,1.2,1.58,304
"Goulash, NFS",2,162.6,15.31,8.7,7.4,0.9,1.6,262
"Meat pie, NFS",5,203.9,5.11,19.21,11.85,1.1,2.26,393
"Chow mein or chop suey, NS as to type of meat, with noodles",0,133.1,9.91,11.15,5.43,1.5,1.54,408
"Paella, NFS",2,165.8,9.54,15.79,7.17,0.6,0.67,737
Brunswick stew,0,119.6,11.26,7.32,5.03,1.2,1.01,234
"Chow mein or chop suey, various types of meat, with noodles",0,136.2,10.36,11.16,5.57,1.5,1.54,354
"Stewed variety meats, mostly liver, Puerto Rican style",2,108.5,15.78,5.74,2.49,1.0,1.94,337
"Stewed tripe, with potatoes, Puerto Rican style",0,108.7,8.57,9.45,4.07,1.7,2.03,561
Gumbo with rice,0,89.7,8.16,6.54,3.43,0.9,1.7,400
Jambalaya with meat and rice,2,161.4,13.77,8.64,7.97,0.7,0.94,379
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",0,118.2,11.41,3.0,6.73,1.4,1.27,316
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0,124.6,10.03,5.16,7.09,1.1,0.99,324
"Beef shish kabob with vegetables, excluding potatoes",0,122.9,14.7,5.0,4.9,0.9,2.33,208
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,113.8,8.24,4.48,6.99,1.7,2.51,300
Swiss steak,0,130.4,10.82,3.55,8.1,0.9,1.16,242
"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",2,189.3,20.53,6.46,9.04,0.7,1.23,349
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",0,119.1,7.67,5.96,7.18,1.4,2.23,301
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",0,116.4,7.8,5.24,7.14,1.1,1.59,307
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",0,123.5,7.85,6.97,7.14,1.0,1.51,318
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,145.5,11.75,4.79,8.82,1.3,1.55,249
Beef and broccoli,2,159.3,10.55,5.31,10.65,1.4,1.39,439
"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,118.0,7.33,4.88,7.68,1.3,1.65,235
Szechuan beef,0,105.2,7.08,7.29,5.3,1.5,2.41,409
Hunan beef,0,105.2,7.08,7.29,5.3,1.5,2.41,409
"Beef chow mein or chop suey, no noodles",0,81.9,10.76,3.85,2.61,0.8,1.76,253
Kung Pao beef,2,223.7,18.34,4.79,14.58,1.1,1.46,180
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,148.0,12.03,4.39,9.15,0.9,1.64,245
"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",0,119.4,7.43,4.5,7.96,0.9,1.74,230
"Beef and vegetables, Hawaiian style",0,87.2,4.33,14.13,1.48,1.8,5.6,676
Pepper steak,0,147.2,11.87,4.42,9.12,0.7,1.67,244
"Beef, ground, with egg and onion",2,222.4,21.86,1.05,14.53,0.1,0.54,744
Beef salad,2,256.8,17.9,2.82,19.32,0.4,2.1,335
"Beef taco filling: beef, cheese, tomato, taco sauce",2,179.2,12.99,6.33,11.32,0.9,4.06,472
Stir fried beef and vegetables in soy sauce,0,93.5,10.85,4.25,3.68,0.9,2.6,342
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",0,116.3,8.06,4.5,7.34,1.0,1.0,310
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",0,124.4,8.11,6.47,7.34,0.9,0.91,312
Seasoned shredded soup meat,2,202.5,18.22,3.64,12.79,0.9,1.74,235
"Beef stew with vegetables excluding potatoes, Puerto Rican style",2,214.5,15.08,6.73,14.14,2.2,2.78,572
"Corned beef with tomato sauce and onion, Puerto Rican style",2,196.1,19.18,2.04,12.36,0.4,1.08,688
"Beef steak with onions, Puerto Rican style",2,316.5,20.92,3.94,24.12,0.7,1.55,999
Cabbage with ham hocks,0,72.3,7.97,4.5,2.49,1.7,2.69,346
Ham or pork salad,2,227.0,13.31,2.75,18.09,0.4,2.06,985
Frankfurters or hot dogs and sauerkraut,2,209.8,7.94,3.52,18.22,1.1,1.5,791
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",0,122.8,11.2,3.14,7.27,1.5,1.33,317
Greens with ham or pork,0,51.0,4.91,4.68,1.41,3.6,0.84,370
"Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce",0,117.6,7.03,4.88,7.77,1.3,1.65,237
"Pork and vegetables, Hawaiian style",0,91.5,7.37,7.33,3.63,1.7,2.34,192
Pork and watercress with soy-based sauce,2,187.5,14.87,3.46,12.69,0.5,1.05,341
Kung Pao pork,2,222.4,17.3,4.79,14.89,1.1,1.46,189
"Moo Shu pork, without Chinese pancake",2,153.4,10.43,4.04,10.61,0.9,1.79,818
Pork and onions with soy-based sauce,0,148.5,11.05,5.51,9.14,0.8,2.17,245
Pork hash,2,182.2,12.96,1.89,13.65,0.5,0.56,486
"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",0,114.7,7.45,2.59,8.28,1.2,1.1,767
"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0,121.2,7.56,5.12,7.83,1.1,0.98,757
"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0,125.6,10.07,5.52,7.03,1.2,1.06,319
"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,118.9,7.12,4.5,8.05,0.9,1.74,233
"Pork chow mein or chop suey, no noodles",0,95.5,10.34,3.85,4.3,0.8,1.76,250
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,113.1,7.76,4.48,7.13,1.7,2.51,304
"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",0,121.3,7.81,6.44,7.14,1.5,2.42,305
"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,117.1,5.56,4.94,8.34,1.7,2.83,675
"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",0,125.3,5.62,6.94,8.34,1.6,2.74,665
"Sausage and peppers, no sauce",2,247.8,13.99,3.26,19.87,0.3,1.88,551
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,144.7,11.06,4.79,9.03,1.3,1.55,255
"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce",0,147.1,11.31,4.39,9.37,0.9,1.64,251
"Pork shish kabob with vegetables, excluding potatoes",0,121.7,13.78,5.0,5.18,0.9,2.33,216
"Stuffed christophine, Puerto Rican style",2,213.2,12.62,4.44,16.11,1.5,1.72,334
"Pork chop stewed with vegetables, Puerto Rican style",0,92.7,10.82,5.22,3.17,1.3,2.52,411
"Lamb or mutton stew with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",0,113.7,13.52,6.37,3.79,1.8,1.28,361
"Lamb or mutton stew with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",2,119.4,14.41,6.83,3.83,1.8,1.77,376
"Veal goulash with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",0,94.0,12.59,2.79,3.61,0.4,1.07,226
"Veal goulash with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,95.9,12.96,2.59,3.74,0.4,1.0,238
"Veal with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream or white sauce",0,121.9,9.36,5.98,6.73,0.8,2.76,308
"Veal with vegetables excluding carrots, broccoli, and dark-green leafy; and potatoes, cream or white sauce",0,125.8,10.67,6.68,6.27,0.9,2.22,306
"Lamb shish kabob with vegetables, excluding potatoes",0,119.8,12.12,5.0,5.7,0.9,2.33,221
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",0,120.2,9.66,2.88,7.78,1.4,1.22,386
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0,126.8,8.72,5.08,7.96,1.1,0.98,379
"Chicken or turkey shish kabob with vegetables, excluding potatoes",0,105.2,12.95,5.0,3.71,0.9,2.33,346
"Chicken or turkey creole, without rice",2,105.1,13.82,2.96,4.22,1.1,1.83,363
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",0,113.2,7.1,4.47,7.44,1.0,1.0,367
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",0,121.4,7.16,6.43,7.45,0.9,0.9,368
"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",2,187.8,9.37,6.81,13.67,0.6,2.57,428
"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",2,182.8,9.53,6.35,13.25,0.5,2.46,482
Chicken or turkey divan,2,143.1,15.51,3.99,7.23,1.3,0.96,296
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,95.3,8.18,5.38,4.56,0.9,2.93,413
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,134.1,10.6,4.44,8.22,0.9,1.69,352
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,116.8,7.23,4.42,7.8,1.6,2.47,365
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",0,124.8,7.28,6.35,7.81,1.5,2.38,366
General Tso chicken,5,294.8,12.9,23.99,16.36,0.9,11.6,435
Moo Goo Gai Pan,0,69.2,7.15,4.69,2.43,1.2,2.01,106
Kung pao chicken,0,129.3,9.76,6.87,6.98,1.5,3.03,402
Almond chicken,2,202.7,16.07,4.69,13.3,1.2,1.44,335
"Chicken or turkey chow mein or chop suey, no noodles",0,83.6,9.78,3.84,3.23,0.8,1.76,344
"Chicken or turkey salad, made with mayonnaise",2,235.9,13.97,2.8,18.76,0.4,2.1,480
Chicken or turkey salad with nuts and/or fruits,2,234.5,12.51,5.95,17.85,1.1,4.08,388
Chicken or turkey salad with egg,2,228.6,13.85,2.66,18.06,0.4,2.01,450
"Chicken or turkey salad, made with light mayonnaise",2,146.5,13.6,4.68,8.15,0.4,2.73,526
"Chicken or turkey salad, made with mayonnaise-type salad dressing",2,149.9,13.72,5.87,7.95,0.4,4.13,486
"Chicken or turkey salad, made with light mayonnaise-type salad dressing",2,146.5,13.6,4.68,8.15,0.4,2.73,526
"Chicken or turkey salad, made with creamy dressing",2,188.8,13.81,3.94,13.09,0.4,2.98,542
"Chicken or turkey salad, made with light creamy dressing",2,129.2,13.79,4.2,6.36,0.4,3.2,528
"Chicken or turkey salad, made with Italian dressing",2,146.4,13.67,5.29,7.84,0.4,4.3,560
"Chicken or turkey salad, made with light Italian dressing",2,116.2,13.6,4.85,4.71,0.4,3.97,540
"Chicken or turkey salad, made with any type of fat free dressing",2,112.6,13.37,6.21,3.81,0.9,4.31,521
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",0,64.2,10.22,2.84,1.33,1.0,1.25,132
"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing",0,66.3,11.0,2.41,1.41,0.9,0.97,137
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",0,105.9,11.08,2.78,5.61,0.9,1.07,224
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",0,121.7,6.92,6.13,7.72,1.2,1.18,252
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",0,93.5,10.4,2.8,4.52,0.9,1.1,172
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",0,122.2,6.62,6.19,7.89,1.3,1.38,213
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",0,132.4,11.53,9.42,5.4,2.0,2.97,174
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",0,120.5,10.36,7.91,5.27,1.9,2.97,165
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",0,63.1,8.68,2.71,1.95,1.0,0.96,262
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",0,114.9,6.47,6.81,6.86,1.2,0.92,245
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",0,120.0,9.83,3.88,7.24,0.9,0.8,353
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",0,126.8,9.87,5.54,7.24,0.7,0.72,365
"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",2,184.2,14.0,2.54,13.12,0.7,1.19,593
"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style",2,199.7,25.15,0.0,11.01,0.0,0.0,742
Crab salad,2,185.5,9.44,1.19,15.89,0.4,0.57,459
Lobster salad,2,184.5,10.33,1.15,15.4,0.4,0.55,504
Salmon salad,2,210.3,10.86,2.66,17.36,0.4,1.98,504
"Shrimp chow mein or chop suey, no noodles",0,67.5,8.8,4.27,1.69,0.8,1.72,263
"Tuna salad, made with mayonnaise",2,194.4,10.12,2.82,15.85,0.4,2.07,414
"Tuna salad, made with light mayonnaise",0,106.6,9.82,4.67,5.4,0.4,2.7,460
"Tuna salad, made with mayonnaise-type salad dressing",0,109.8,9.92,5.84,5.19,0.4,4.09,421
"Tuna salad, made with light mayonnaise-type salad dressing",0,106.6,9.82,4.67,5.4,0.4,2.7,460
"Tuna salad, made with creamy dressing",2,148.5,10.03,3.94,10.29,0.4,2.95,476
"Tuna salad, made with light creamy dressing",0,79.1,9.86,7.31,1.16,0.4,3.14,484
"Tuna salad, made with Italian dressing",0,106.4,9.87,5.27,5.09,0.4,4.25,494
"Tuna salad, made with light Italian dressing",0,76.6,9.82,4.84,2.0,0.4,3.93,474
"Tuna salad, made with any type of fat free dressing",0,73.6,9.64,6.18,1.15,0.8,4.26,456
Shrimp salad,2,196.2,10.47,1.22,16.6,0.4,0.58,695
Seafood salad,2,188.6,10.08,1.18,15.95,0.4,0.56,579
Tuna salad with cheese,2,214.8,11.37,2.78,17.58,0.4,1.91,437
Tuna salad with egg,2,190.6,10.33,2.67,15.4,0.4,1.99,389
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",0,61.7,8.2,2.63,2.04,0.9,1.25,277
"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",0,63.3,8.73,2.24,2.16,0.8,1.01,291
Crab salad made with imitation crab,5,197.3,4.12,8.58,16.28,0.6,3.65,526
"Fish, tofu, and vegetables, tempura",0,177.6,4.03,4.55,15.92,1.1,1.65,23
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",0,44.9,7.68,2.43,0.5,0.9,0.98,271
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",0,44.3,7.13,2.87,0.48,1.0,1.26,257
"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",0,61.2,8.44,2.23,2.06,0.7,1.0,248
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",0,59.7,7.92,2.61,1.95,0.8,1.24,237
Oysters Rockefeller,0,131.3,7.65,9.27,7.07,1.9,1.2,434
Lomi salmon,0,60.2,7.55,3.31,1.86,1.0,1.82,145
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",0,117.8,9.35,3.8,7.25,1.6,1.37,59
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0,126.0,9.25,6.78,6.87,1.3,1.2,41
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,115.6,9.2,5.29,6.4,1.3,1.55,247
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,117.0,9.38,4.92,6.64,0.9,1.64,243
"Shrimp shish kabob with vegetables, excluding potatoes",0,81.7,11.14,5.69,1.6,0.9,2.33,240
"Shrimp creole, no rice",0,121.6,14.32,4.49,5.15,1.0,1.32,153
Kung Pao shrimp,2,177.5,14.34,5.56,10.88,1.1,1.46,216
"Tuna casserole with vegetables and mushroom sauce, no noodles",0,114.7,8.86,8.41,5.07,0.9,1.78,367
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,119.3,9.45,6.03,6.38,1.3,1.55,247
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,120.9,9.63,5.69,6.62,0.9,1.64,243
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",0,110.8,6.25,5.93,6.9,1.1,1.57,317
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",0,118.0,6.3,7.64,6.91,1.0,1.49,308
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",0,108.0,6.28,4.39,7.26,1.6,2.46,302
"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",0,115.9,6.33,6.3,7.26,1.5,2.36,303
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",0,104.4,7.83,4.78,6.0,1.3,1.55,255
"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",0,105.2,7.95,4.38,6.21,0.9,1.64,251
"Fish shish kabob with vegetables, excluding potatoes",0,66.8,9.31,5.0,1.06,0.9,2.33,250
"Fried fish with sauce, Puerto Rican style",2,153.6,11.81,3.42,10.3,0.8,1.7,662
"Lobster with sauce, Puerto Rican style",2,153.9,10.76,3.96,10.56,1.0,2.24,720
"Octopus salad, Puerto Rican style",0,168.5,9.67,5.56,11.95,1.0,2.13,129
"Codfish salad, Puerto Rican style, Serenata",0,181.1,6.61,2.81,15.94,0.7,1.51,415
"Chow mein or chop suey, NS as to type of meat, no noodles",0,83.6,9.78,3.84,3.23,0.8,1.76,344
Lau lau,2,135.9,15.25,0.0,8.32,0.0,0.0,231
"Julienne salad, meat, cheese, eggs, vegetables, no dressing",0,111.0,10.99,2.57,6.31,0.7,1.13,277
"Antipasto with ham, fish, cheese, vegetables",2,158.2,11.62,3.88,10.69,1.1,1.51,869
"Livers, chicken, chopped, with eggs and onion",2,222.2,12.89,2.87,17.69,0.4,1.23,1047
"Liver, beef or calves, and onions",2,127.0,16.68,6.97,3.6,0.5,1.78,276
"Stewed chitterlings, Puerto Rican style",0,215.5,8.4,3.82,18.51,1.0,2.04,56
"Stewed gizzards, Puerto Rican style",2,176.7,20.25,4.4,8.68,1.1,1.94,380
"Gumbo, no rice",0,83.2,8.53,4.02,3.67,0.9,1.83,433
"Sandwich, NFS",5,292.5,9.28,33.02,13.7,1.4,4.02,773
"Meat sandwich, NFS",5,292.5,9.28,33.02,13.7,1.4,4.02,773
"Wrap sandwich, NFS",2,189.1,12.74,13.32,9.43,1.2,2.13,344
"Beef sandwich, NFS",2,188.4,11.93,18.68,7.33,0.6,2.86,404
"Beef barbecue submarine sandwich, on bun",2,219.4,16.73,26.04,5.37,0.8,8.72,410
"Cheeseburger slider, from fast food",5,293.9,16.22,24.9,14.38,0.9,3.91,513
"Cheeseburger, NFS",2,292.1,17.92,18.62,16.21,0.6,2.92,444
"Cheeseburger, from fast food, 1 small patty",2,295.1,16.48,23.82,14.88,0.8,3.78,519
Cheeseburger (Burger King),5,257.6,13.94,23.87,11.82,1.0,4.85,508
Whopper Jr with cheese (Burger King),5,233.3,12.07,18.89,12.16,0.9,4.03,413
Cheeseburger (McDonalds),5,271.9,13.49,25.46,12.9,1.9,5.24,628
"Cheeseburger, from school cafeteria",2,248.8,18.89,23.87,8.64,2.4,3.41,328
Cheeseburger slider,2,292.0,18.13,17.81,16.47,0.6,2.8,437
"Cheeseburger, on white bun, 1 small patty",2,293.7,17.66,19.5,16.12,0.7,3.1,467
"Cheeseburger, on wheat bun, 1 small patty",2,291.2,18.39,18.06,16.15,1.8,2.86,458
"Cheeseburger, from fast food, 1 medium patty",2,292.1,17.92,18.62,16.21,0.6,2.92,444
Quarter Pounder (McDonalds),2,255.7,15.68,22.14,11.6,1.1,3.67,374
Whopper with cheese (Burger King),5,267.9,13.69,17.73,15.8,1.1,4.5,473
Quarter Pounder with cheese (McDonalds),2,269.3,15.21,19.72,14.4,1.2,3.6,591
