Nguyên liệu nhập,Nguyên liệu khớp,Khối lượng chín (g),Trạng thái,Khối lượng thô (g),Hệ số nấu
oatmeal,"Pie, oatmeal",50,raw,50.0,1.0
almond milk,Almond oil,150,raw,150.0,1.0
banana,"Banana, raw",100,raw,100.0,1.0
chia seeds,Chia seeds,15,raw,15.0,1.0
